,,,,,,,,,,,,,,,,,,
Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time
128,10,1,0.65,LogisticRegression(max_iter=10000),0.969,0.919,0.007,0.917,0.007,0.919,0,0,1252,0.464,1252,0.464,0:00:05.653080,0:00:00
,,,,,,,,,,,,,,,,,,
128,10,1,0.6,LogisticRegression(max_iter=10000),0.966,0.923,0.01,0.921,0.011,0.923,0,0,1049,0.389,1049,0.389,0:00:04.268686,0:00:00
,,,,,,,,,,,,,,,,,,
128,15,1,1,LogisticRegression(max_iter=10000),0.99,0.908,0,0.906,0,0.908,0,0,3253,1,3253,1,0:00:15.577533,0:00:00
,,,,,,,,,,,,,,,,,,
128,15,1,0.95,LogisticRegression(max_iter=10000),0.989,0.911,0.003,0.909,0.003,0.911,0,0,3102,0.954,3102,0.954,0:00:15.998514,0:00:00
,,,,,,,,,,,,,,,,,,
128,15,1,0.9,LogisticRegression(max_iter=10000),0.987,0.909,0.001,0.907,0.001,0.909,0,0,2951,0.907,2951,0.907,0:00:15.556261,0:00:00
,,,,,,,,,,,,,,,,,,
128,15,1,0.85,LogisticRegression(max_iter=10000),0.986,0.911,0.003,0.909,0.003,0.911,0,0,2765,0.85,2765,0.85,0:00:14.252532,0:00:00
,,,,,,,,,,,,,,,,,,
128,15,1,0.8,LogisticRegression(max_iter=10000),0.984,0.911,0.003,0.909,0.003,0.911,0,0,2611,0.803,2611,0.803,0:00:12.641077,0:00:00
,,,,,,,,,,,,,,,,,,
128,15,1,0.75,LogisticRegression(max_iter=10000),0.984,0.911,0.003,0.909,0.003,0.911,0,0,2437,0.749,2437,0.749,0:00:10.974909,0:00:00
,,,,,,,,,,,,,,,,,,
128,15,1,0.7,LogisticRegression(max_iter=10000),0.982,0.911,0.003,0.909,0.003,0.911,0,0,2173,0.668,2173,0.668,0:00:11.329446,0:00:00
,,,,,,,,,,,,,,,,,,
128,15,1,0.65,LogisticRegression(max_iter=10000),0.976,0.912,0.004,0.91,0.004,0.912,0,0,1682,0.517,1682,0.517,0:00:08.538049,0:00:00
,,,,,,,,,,,,,,,,,,
128,15,1,0.6,LogisticRegression(max_iter=10000),0.973,0.919,0.01,0.917,0.011,0.919,0,0,1481,0.455,1481,0.455,0:00:06.237074,0:00:00
,,,,,,,,,,,,,,,,,,
Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time
,,,,,,,,,,,,,,,,,,
Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time
,,,,,,,,,,,,,,,,,,
16,5,1,1,LogisticRegression(max_iter=10000),0.94,0.933,0,0.932,0,0.933,0,0,191,191,191,191,0:00:00.301823,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.95,LogisticRegression(max_iter=10000),0.938,0.937,0.004,0.936,0.004,0.937,0,0,168,168,168,168,0:00:00.264885,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.9,LogisticRegression(max_iter=10000),0.938,0.936,0.003,0.934,0.003,0.936,0,0,152,152,152,152,0:00:00.232879,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.85,LogisticRegression(max_iter=10000),0.939,0.936,0.003,0.934,0.003,0.936,0,0,138,138,138,138,0:00:00.181065,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.8,LogisticRegression(max_iter=10000),0.937,0.938,0.005,0.937,0.005,0.938,0,0,127,127,127,127,0:00:00.167217,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.75,LogisticRegression(max_iter=10000),0.934,0.934,0.001,0.933,0.001,0.934,0,0,111,111,111,111,0:00:00.169260,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.7,LogisticRegression(max_iter=10000),0.932,0.929,-0.004,0.928,-0.004,0.929,0,0,92,92,92,92,0:00:00.192676,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.65,LogisticRegression(max_iter=10000),0.932,0.93,-0.003,0.929,-0.003,0.93,0,0,75,75,75,75,0:00:00.081320,0:00:00
,,,,,,,,,,,,,,,,,,
16,5,1,0.6,LogisticRegression(max_iter=10000),0.931,0.934,0.001,0.933,0.001,0.934,0,0,55,55,55,55,0:00:00.121788,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,1,LogisticRegression(max_iter=10000),0.958,0.925,0,0.924,0,0.925,0,0,647,647,647,647,0:00:01.857005,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.95,LogisticRegression(max_iter=10000),0.957,0.923,-0.003,0.921,-0.003,0.923,0,0,597,597,597,597,0:00:01.646709,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.9,LogisticRegression(max_iter=10000),0.954,0.925,0,0.924,0,0.925,0,0,552,552,552,552,0:00:02.341522,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.85,LogisticRegression(max_iter=10000),0.952,0.928,0.003,0.926,0.003,0.928,0,0,498,498,498,498,0:00:01.351852,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.8,LogisticRegression(max_iter=10000),0.951,0.934,0.009,0.933,0.009,0.934,0,0,454,454,454,454,0:00:01.383451,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.75,LogisticRegression(max_iter=10000),0.949,0.932,0.007,0.93,0.007,0.932,0,0,410,410,410,410,0:00:01.596994,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.7,LogisticRegression(max_iter=10000),0.948,0.933,0.008,0.932,0.008,0.933,0,0,345,345,345,345,0:00:00.811458,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.65,LogisticRegression(max_iter=10000),0.943,0.934,0.009,0.933,0.01,0.934,0,0,256,256,256,256,0:00:00.522402,0:00:00
,,,,,,,,,,,,,,,,,,
16,10,1,0.6,LogisticRegression(max_iter=10000),0.942,0.934,0.009,0.933,0.01,0.934,0,0,224,224,224,224,0:00:00.482086,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,1,LogisticRegression(max_iter=10000),0.96,0.928,0,0.926,0,0.928,0,0,826,826,826,826,0:00:02.766794,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.95,LogisticRegression(max_iter=10000),0.96,0.927,-0.001,0.925,-0.001,0.927,0,0,758,758,758,758,0:00:03.331822,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.9,LogisticRegression(max_iter=10000),0.958,0.924,-0.004,0.922,-0.004,0.924,0,0,711,711,711,711,0:00:02.611350,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.85,LogisticRegression(max_iter=10000),0.956,0.927,-0.001,0.925,-0.001,0.927,0,0,653,653,653,653,0:00:01.645905,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.8,LogisticRegression(max_iter=10000),0.955,0.927,-0.001,0.925,-0.001,0.927,0,0,611,611,611,611,0:00:01.667984,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.75,LogisticRegression(max_iter=10000),0.952,0.927,-0.001,0.925,-0.001,0.927,0,0,555,555,555,555,0:00:02.223561,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.7,LogisticRegression(max_iter=10000),0.951,0.929,0.001,0.928,0.001,0.929,0,0,469,469,469,469,0:00:01.099905,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.65,LogisticRegression(max_iter=10000),0.945,0.93,0.003,0.929,0.003,0.93,0,0,337,337,337,337,0:00:00.858342,0:00:00
,,,,,,,,,,,,,,,,,,
16,15,1,0.6,LogisticRegression(max_iter=10000),0.948,0.93,0.003,0.929,0.003,0.93,0,0,290,290,290,290,0:00:00.542120,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,1,LogisticRegression(max_iter=10000),0.947,0.925,0,0.924,0,0.925,0,0,339,339,339,339,0:00:00.758790,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.95,LogisticRegression(max_iter=10000),0.945,0.924,-0.001,0.922,-0.001,0.924,0,0,292,292,292,292,0:00:00.576650,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.9,LogisticRegression(max_iter=10000),0.944,0.925,0,0.924,0,0.925,0,0,269,269,269,269,0:00:00.527893,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.85,LogisticRegression(max_iter=10000),0.941,0.929,0.004,0.928,0.004,0.929,0,0,242,242,242,242,0:00:00.408688,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.8,LogisticRegression(max_iter=10000),0.937,0.933,0.008,0.932,0.008,0.933,0,0,217,217,217,217,0:00:00.339471,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.75,LogisticRegression(max_iter=10000),0.936,0.932,0.007,0.93,0.007,0.932,0,0,183,183,183,183,0:00:00.280172,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.7,LogisticRegression(max_iter=10000),0.934,0.934,0.009,0.933,0.009,0.934,0,0,154,154,154,154,0:00:00.171640,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.65,LogisticRegression(max_iter=10000),0.932,0.929,0.004,0.928,0.004,0.929,0,0,117,117,117,117,0:00:00.122019,0:00:00
,,,,,,,,,,,,,,,,,,
32,5,1,0.6,LogisticRegression(max_iter=10000),0.933,0.933,0.008,0.932,0.008,0.933,0,0,84,84,84,84,0:00:00.138812,0:00:00
,,,,,,,,,,,,,,,,,,
32,10,1,1,LogisticRegression(max_iter=10000),0.968,0.917,0,0.916,0,0.917,0,0,1070,1070,1070,1070,0:00:04.452498,0:00:00
,,,,,,,,,,,,,,,,,,
32,10,1,0.95,LogisticRegression(max_iter=10000),0.967,0.92,0.003,0.918,0.003,0.92,0,0,990,990,990,990,0:00:03.842192,0:00:00
,,,,,,,,,,,,,,,,,,
32,10,1,0.9,LogisticRegression(max_iter=10000),0.965,0.921,0.004,0.92,0.004,0.921,0,0,920,920,920,920,0:00:02.999561,0:00:00
,,,,,,,,,,,,,,,,,,
32,10,1,0.85,LogisticRegression(max_iter=10000),0.965,0.92,0.003,0.918,0.003,0.92,0,0,834,834,834,834,0:00:02.801439,0:00:00
,,,,,,,,,,,,,,,,,,
32,10,1,0.8,LogisticRegression(max_iter=10000),0.962,0.921,0.004,0.92,0.004,0.921,0,0,765,765,765,765,0:00:03.010620,0:00:00
,,,,,,,,,,,,,,,,,,
32,10,1,0.75,LogisticRegression(max_iter=10000),0.96,0.924,0.007,0.922,0.007,0.924,0,0,690,690,690,690,0:00:02.025077,0:00:00
,,,,,,,,,,,,,,,,,,
32,10,1,0.7,LogisticRegression(max_iter=10000),0.957,0.924,0.007,0.922,0.007,0.924,0,0,582,582,582,582,0:00:01.346971,0:00:00
,,,,,,,,,,,,,,,,,,
32,10,1,0.65,LogisticRegression(max_iter=10000),0.951,0.934,0.017,0.933,0.017,0.934,0,0,453,453,453,453,0:00:01.446709,0:00:00
,,,,,,,,,,,,,,,,,,
32,10,1,0.6,LogisticRegression(max_iter=10000),0.949,0.927,0.009,0.925,0.009,0.927,0,0,376,376,376,376,0:00:00.910541,0:00:00
,,,,,,,,,,,,,,,,,,
32,15,1,1,LogisticRegression(max_iter=10000),0.97,0.913,0,0.912,0,0.913,0,0,1378,1378,1378,1378,0:00:05.427668,0:00:00
,,,,,,,,,,,,,,,,,,
32,15,1,0.95,LogisticRegression(max_iter=10000),0.969,0.915,0.001,0.913,0.001,0.915,0,0,1281,1281,1281,1281,0:00:05.049591,0:00:00
,,,,,,,,,,,,,,,,,,
32,15,1,0.9,LogisticRegression(max_iter=10000),0.968,0.912,-0.001,0.91,-0.001,0.912,0,0,1199,1199,1199,1199,0:00:04.401164,0:00:00
,,,,,,,,,,,,,,,,,,
32,15,1,0.85,LogisticRegression(max_iter=10000),0.967,0.913,0,0.911,0,0.913,0,0,1111,1111,1111,1111,0:00:03.765385,0:00:00
,,,,,,,,,,,,,,,,,,
32,15,1,0.8,LogisticRegression(max_iter=10000),0.966,0.915,0.001,0.913,0.001,0.915,0,0,1030,1030,1030,1030,0:00:03.528178,0:00:00
,,,,,,,,,,,,,,,,,,
32,15,1,0.75,LogisticRegression(max_iter=10000),0.965,0.919,0.005,0.917,0.005,0.919,0,0,936,936,936,936,0:00:03.180942,0:00:00
,,,,,,,,,,,,,,,,,,
32,15,1,0.7,LogisticRegression(max_iter=10000),0.963,0.92,0.007,0.918,0.007,0.92,0,0,785,785,785,785,0:00:02.823518,0:00:00
,,,,,,,,,,,,,,,,,,
32,15,1,0.65,LogisticRegression(max_iter=10000),0.956,0.928,0.014,0.926,0.015,0.928,0,0,585,585,585,585,0:00:01.605823,0:00:00
,,,,,,,,,,,,,,,,,,
32,15,1,0.6,LogisticRegression(max_iter=10000),0.951,0.924,0.01,0.922,0.011,0.924,0,0,494,494,494,494,0:00:01.194492,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,1,LogisticRegression(max_iter=10000),0.954,0.936,0,0.934,0,0.936,0,0,513,513,513,513,0:00:01.302477,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.95,LogisticRegression(max_iter=10000),0.953,0.932,-0.004,0.93,-0.004,0.932,0,0,445,445,445,445,0:00:01.266466,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.9,LogisticRegression(max_iter=10000),0.952,0.938,0.003,0.937,0.003,0.938,0,0,412,412,412,412,0:00:00.818522,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.85,LogisticRegression(max_iter=10000),0.949,0.932,-0.004,0.93,-0.004,0.932,0,0,374,374,374,374,0:00:00.566937,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.8,LogisticRegression(max_iter=10000),0.949,0.93,-0.005,0.929,-0.005,0.93,0,0,339,339,339,339,0:00:00.549096,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.75,LogisticRegression(max_iter=10000),0.947,0.934,-0.001,0.933,-0.001,0.934,0,0,309,309,309,309,0:00:00.808836,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.7,LogisticRegression(max_iter=10000),0.94,0.932,-0.004,0.93,-0.004,0.932,0,0,252,252,252,252,0:00:00.663768,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.65,LogisticRegression(max_iter=10000),0.934,0.933,-0.003,0.932,-0.003,0.933,0,0,210,210,210,210,0:00:00.463274,0:00:00
,,,,,,,,,,,,,,,,,,
64,5,1,0.6,LogisticRegression(max_iter=10000),0.935,0.932,-0.004,0.93,-0.004,0.932,0,0,156,156,156,156,0:00:00.139094,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,1,LogisticRegression(max_iter=10000),0.977,0.916,0,0.914,0,0.916,0,0,1796,1796,1796,1796,0:00:08.379729,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.95,LogisticRegression(max_iter=10000),0.975,0.917,0.001,0.915,0.001,0.917,0,0,1653,1653,1653,1653,0:00:07.966279,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.9,LogisticRegression(max_iter=10000),0.974,0.915,-0.001,0.913,-0.001,0.915,0,0,1542,1542,1542,1542,0:00:06.495361,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.85,LogisticRegression(max_iter=10000),0.972,0.921,0.005,0.92,0.005,0.921,0,0,1412,1412,1412,1412,0:00:06.133802,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.8,LogisticRegression(max_iter=10000),0.97,0.921,0.005,0.92,0.005,0.921,0,0,1306,1306,1306,1306,0:00:04.426556,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.75,LogisticRegression(max_iter=10000),0.97,0.923,0.007,0.921,0.007,0.923,0,0,1182,1182,1182,1182,0:00:04.043140,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.7,LogisticRegression(max_iter=10000),0.968,0.925,0.009,0.924,0.009,0.925,0,0,1019,1019,1019,1019,0:00:03.079958,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.65,LogisticRegression(max_iter=10000),0.962,0.927,0.01,0.925,0.011,0.927,0,0,805,805,805,805,0:00:02.338886,0:00:00
,,,,,,,,,,,,,,,,,,
64,10,1,0.6,LogisticRegression(max_iter=10000),0.959,0.925,0.009,0.924,0.009,0.925,0,0,675,675,675,675,0:00:01.545119,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,1,LogisticRegression(max_iter=10000),0.983,0.92,0,0.918,0,0.92,0,0,2229,2229,2229,2229,0:00:09.324926,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.95,LogisticRegression(max_iter=10000),0.982,0.919,-0.001,0.917,-0.001,0.919,0,0,2096,2096,2096,2096,0:00:09.839492,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.9,LogisticRegression(max_iter=10000),0.979,0.917,-0.003,0.916,-0.003,0.917,0,0,1964,1964,1964,1964,0:00:08.799349,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.85,LogisticRegression(max_iter=10000),0.977,0.917,-0.003,0.916,-0.003,0.917,0,0,1822,1822,1822,1822,0:00:07.201941,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.8,LogisticRegression(max_iter=10000),0.975,0.917,-0.003,0.915,-0.003,0.917,0,0,1722,1722,1722,1722,0:00:07.198497,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.75,LogisticRegression(max_iter=10000),0.973,0.916,-0.004,0.914,-0.004,0.916,0,0,1592,1592,1592,1592,0:00:06.906593,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.7,LogisticRegression(max_iter=10000),0.968,0.919,-0.001,0.917,-0.001,0.919,0,0,1347,1347,1347,1347,0:00:06.008685,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.65,LogisticRegression(max_iter=10000),0.964,0.923,0.003,0.921,0.003,0.923,0,0,1006,1006,1006,1006,0:00:04.160627,0:00:00
,,,,,,,,,,,,,,,,,,
64,15,1,0.6,LogisticRegression(max_iter=10000),0.96,0.928,0.008,0.926,0.008,0.928,0,0,873,873,873,873,0:00:04.123364,0:00:00
16,5,1,0.55,LogisticRegression(max_iter=10000),0.922,0.934,-0.066,0.933,-0.067,0.934,0,-1.0,23,23.0,23,23.0,0:00:00.037181,0:00:00,

16,10,1,0.55,LogisticRegression(max_iter=10000),0.937,0.932,-0.068,0.93,-0.07,0.932,0,-1.0,150,150.0,150,150.0,0:00:00.144084,0:00:00,

16,15,1,0.55,LogisticRegression(max_iter=10000),0.942,0.936,-0.064,0.934,-0.066,0.936,0,-1.0,221,221.0,221,221.0,0:00:00.270921,0:00:00,

32,5,1,0.55,LogisticRegression(max_iter=10000),0.934,0.937,-0.063,0.936,-0.064,0.937,0,-1.0,47,47.0,47,47.0,0:00:00.091855,0:00:00,

32,10,1,0.55,LogisticRegression(max_iter=10000),0.943,0.93,-0.07,0.929,-0.071,0.93,0,-1.0,263,263.0,263,263.0,0:00:00.585543,0:00:00,

32,15,1,0.55,LogisticRegression(max_iter=10000),0.948,0.93,-0.07,0.929,-0.071,0.93,0,-1.0,354,354.0,354,354.0,0:00:00.809354,0:00:00,

64,5,1,0.55,LogisticRegression(max_iter=10000),0.93,0.93,-0.07,0.929,-0.071,0.93,0,-1.0,87,87.0,87,87.0,0:00:00.135717,0:00:00,

64,10,1,0.55,LogisticRegression(max_iter=10000),0.949,0.932,-0.068,0.93,-0.07,0.932,0,-1.0,469,469.0,469,469.0,0:00:01.226704,0:00:00,

64,15,1,0.55,LogisticRegression(max_iter=10000),0.954,0.925,-0.075,0.924,-0.076,0.925,0,-1.0,624,624.0,624,624.0,0:00:01.880665,0:00:00,

