Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,5,1,0.925,MultinomialNB(),0.468,0.296,-0.058,2.132,0.136,6.845,0.567,119,0.647,0:00:00.011637,0:00:00.544150
,,,,,,,,,,,,,,,
25,5,1,0.925,LinearSVC(max_iter=10000),0.685,0.345,-0.009,2.014,0.018,6.362,0.085,119,0.647,0:00:41.352610,0:00:00.544150
,,,,,,,,,,,,,,,
25,5,1,0.925,LogisticRegression(max_iter=10000),0.711,0.358,0.004,1.998,0.002,6.242,-0.035,119,0.647,0:00:23.418923,0:00:00.544150
,,,,,,,,,,,,,,,
25,5,1,0.9,MultinomialNB(),0.487,0.32,-0.034,2.094,0.098,6.608,0.33,109,0.592,0:00:00.010284,0:00:00.501050
,,,,,,,,,,,,,,,
25,5,1,0.9,LinearSVC(max_iter=10000),0.689,0.341,-0.013,2.018,0.022,6.408,0.131,109,0.592,0:00:37.549815,0:00:00.501050
,,,,,,,,,,,,,,,
25,5,1,0.9,LogisticRegression(max_iter=10000),0.712,0.361,0.007,1.988,-0.008,6.209,-0.068,109,0.592,0:00:21.234279,0:00:00.501050
,,,,,,,,,,,,,,,
25,5,1,0.85,MultinomialNB(),0.439,0.259,-0.095,2.192,0.196,7.2,0.922,89,0.484,0:00:00.008772,0:00:00.405796
,,,,,,,,,,,,,,,
25,5,1,0.85,LinearSVC(max_iter=10000),0.641,0.304,-0.05,2.071,0.075,6.765,0.488,89,0.484,0:00:29.255225,0:00:00.405796
,,,,,,,,,,,,,,,
25,5,1,0.85,LogisticRegression(max_iter=10000),0.679,0.335,-0.019,2.04,0.044,6.466,0.188,89,0.484,0:00:15.917869,0:00:00.405796
,,,,,,,,,,,,,,,
25,5,1,0.8,MultinomialNB(),0.387,0.242,-0.112,2.224,0.228,7.369,1.092,76,0.413,0:00:00.007933,0:00:00.353466
,,,,,,,,,,,,,,,
25,5,1,0.8,LinearSVC(max_iter=10000),0.625,0.296,-0.058,2.082,0.086,6.841,0.563,76,0.413,0:00:20.597811,0:00:00.353466
,,,,,,,,,,,,,,,
25,5,1,0.8,LogisticRegression(max_iter=10000),0.655,0.32,-0.035,2.047,0.051,6.614,0.336,76,0.413,0:00:13.634025,0:00:00.353466
,,,,,,,,,,,,,,,
25,5,1,0.7,MultinomialNB(),0.29,0.17,-0.184,2.319,0.324,8.065,1.788,46,0.25,0:00:00.005649,0:00:00.287350
,,,,,,,,,,,,,,,
25,5,1,0.7,LinearSVC(max_iter=10000),0.574,0.268,-0.086,2.123,0.127,7.111,0.833,46,0.25,0:00:11.053675,0:00:00.287350
,,,,,,,,,,,,,,,
25,5,1,0.7,LogisticRegression(max_iter=10000),0.597,0.343,-0.011,2.016,0.02,6.388,0.111,46,0.25,0:00:08.050225,0:00:00.287350
,,,,,,,,,,,,,,,
25,5,1,0.6,MultinomialNB(),0.215,0.07,-0.284,2.441,0.445,9.038,2.761,23,0.125,0:00:00.004802,0:00:00.262125
,,,,,,,,,,,,,,,
25,5,1,0.6,LinearSVC(max_iter=10000),0.468,-0.039,-0.393,2.551,0.555,10.096,3.818,23,0.125,0:00:04.017820,0:00:00.262125
,,,,,,,,,,,,,,,
25,5,1,0.6,LogisticRegression(max_iter=10000),0.525,0.157,-0.197,2.294,0.298,8.195,1.918,23,0.125,0:00:05.665367,0:00:00.262125
,,,,,,,,,,,,,,,
25,5,2,1,MultinomialNB(),0.578,0.384,0,1.976,0,5.983,0,72,1,0:00:00.008264,0:00:00.236230
,,,,,,,,,,,,,,,
25,5,2,1,LinearSVC(max_iter=10000),0.667,0.379,0,1.951,0,6.033,0,72,1,0:00:19.803093,0:00:00.236230
,,,,,,,,,,,,,,,
25,5,2,1,LogisticRegression(max_iter=10000),0.698,0.44,0,1.851,0,5.441,0,72,1,0:00:14.296247,0:00:00.236230
,,,,,,,,,,,,,,,
25,5,2,0.975,MultinomialNB(),0.578,0.387,-0.054,1.973,0.122,5.962,0.521,58,0.806,0:00:00.007117,0:00:00.185192
,,,,,,,,,,,,,,,
25,5,2,0.975,LinearSVC(max_iter=10000),0.663,0.378,-0.062,1.961,0.111,6.044,0.603,58,0.806,0:00:13.131252,0:00:00.185192
,,,,,,,,,,,,,,,
25,5,2,0.975,LogisticRegression(max_iter=10000),0.691,0.439,-0.001,1.849,-0.002,5.453,0.013,58,0.806,0:00:10.720105,0:00:00.185192
,,,,,,,,,,,,,,,
25,5,2,0.95,MultinomialNB(),0.566,0.388,-0.053,1.965,0.115,5.953,0.512,55,0.764,0:00:00.007528,0:00:00.171755
,,,,,,,,,,,,,,,
25,5,2,0.95,LinearSVC(max_iter=10000),0.659,0.371,-0.069,1.981,0.13,6.112,0.671,55,0.764,0:00:11.418341,0:00:00.171755
,,,,,,,,,,,,,,,
25,5,2,0.95,LogisticRegression(max_iter=10000),0.69,0.433,-0.007,1.868,0.017,5.506,0.066,55,0.764,0:00:10.562307,0:00:00.171755
,,,,,,,,,,,,,,,
25,5,2,0.925,MultinomialNB(),0.558,0.373,-0.067,2.005,0.155,6.094,0.653,49,0.681,0:00:00.006892,0:00:00.169440
,,,,,,,,,,,,,,,
25,5,2,0.925,LinearSVC(max_iter=10000),0.654,0.378,-0.062,1.973,0.123,6.043,0.602,49,0.681,0:00:11.132441,0:00:00.169440
,,,,,,,,,,,,,,,
25,5,2,0.925,LogisticRegression(max_iter=10000),0.679,0.437,-0.003,1.853,0.003,5.468,0.027,49,0.681,0:00:09.261424,0:00:00.169440
,,,,,,,,,,,,,,,
25,5,2,0.9,MultinomialNB(),0.56,0.381,-0.059,1.987,0.137,6.017,0.576,46,0.639,0:00:00.006228,0:00:00.157004
,,,,,,,,,,,,,,,
25,5,2,0.9,LinearSVC(max_iter=10000),0.648,0.372,-0.068,1.98,0.129,6.104,0.664,46,0.639,0:00:09.045693,0:00:00.157004
,,,,,,,,,,,,,,,
25,5,2,0.9,LogisticRegression(max_iter=10000),0.68,0.429,-0.011,1.872,0.021,5.547,0.106,46,0.639,0:00:08.751122,0:00:00.157004
,,,,,,,,,,,,,,,
25,5,2,0.85,MultinomialNB(),0.514,0.33,-0.11,2.08,0.229,6.51,1.069,37,0.514,0:00:00.005948,0:00:00.135325
,,,,,,,,,,,,,,,
25,5,2,0.85,LinearSVC(max_iter=10000),0.623,0.353,-0.087,1.994,0.143,6.285,0.844,37,0.514,0:00:06.941493,0:00:00.135325
,,,,,,,,,,,,,,,
25,5,2,0.85,LogisticRegression(max_iter=10000),0.651,0.406,-0.035,1.906,0.055,5.778,0.338,37,0.514,0:00:06.744406,0:00:00.135325
,,,,,,,,,,,,,,,
25,5,2,0.8,MultinomialNB(),0.495,0.318,-0.123,2.106,0.255,6.632,1.192,33,0.458,0:00:00.006914,0:00:00.133444
,,,,,,,,,,,,,,,
25,5,2,0.8,LinearSVC(max_iter=10000),0.61,0.343,-0.097,2.011,0.161,6.385,0.944,33,0.458,0:00:05.673521,0:00:00.133444
,,,,,,,,,,,,,,,
25,5,2,0.8,LogisticRegression(max_iter=10000),0.631,0.415,-0.025,1.887,0.036,5.687,0.246,33,0.458,0:00:05.703475,0:00:00.133444
,,,,,,,,,,,,,,,
25,5,2,0.7,MultinomialNB(),0.475,0.314,-0.126,2.078,0.228,6.669,1.228,18,0.25,0:00:00.005802,0:00:00.121506
,,,,,,,,,,,,,,,
25,5,2,0.7,LinearSVC(max_iter=10000),0.57,0.27,-0.171,2.139,0.289,7.098,1.658,18,0.25,0:00:02.289742,0:00:00.121506
,,,,,,,,,,,,,,,
25,5,2,0.7,LogisticRegression(max_iter=10000),0.594,0.362,-0.078,1.977,0.127,6.198,0.758,18,0.25,0:00:04.322511,0:00:00.121506
,,,,,,,,,,,,,,,
25,5,2,0.6,MultinomialNB(),0.458,0.256,-0.184,2.158,0.307,7.232,1.792,8,0.111,0:00:00.003906,0:00:00.116613
,,,,,,,,,,,,,,,
25,5,2,0.6,LinearSVC(max_iter=10000),0.424,-0.108,-0.548,2.62,0.77,10.766,5.326,8,0.111,0:00:01.003505,0:00:00.116613
,,,,,,,,,,,,,,,
25,5,2,0.6,LogisticRegression(max_iter=10000),0.512,0.186,-0.255,2.27,0.419,7.916,2.476,8,0.111,0:00:01.542762,0:00:00.116613
,,,,,,,,,,,,,,,
25,10,1,1,MultinomialNB(),-0.619,-0.606,0,3.141,0,15.614,0,1011,1,0:00:00.065555,0:00:39.886183
,,,,,,,,,,,,,,,
25,10,1,1,LinearSVC(max_iter=10000),0.828,0.326,0,1.994,0,6.547,0,1011,1,0:11:57.479960,0:00:39.886183
,,,,,,,,,,,,,,,
25,10,1,1,LogisticRegression(max_iter=10000),0.853,0.425,0,1.847,0,5.591,0,1011,1,0:04:49.208342,0:00:39.886183
,,,,,,,,,,,,,,,
25,10,1,0.975,MultinomialNB(),-0.797,-0.72,-1.145,3.234,1.387,16.717,11.126,878,0.868,0:00:00.106017,0:00:34.154181
,,,,,,,,,,,,,,,
25,10,1,0.975,LinearSVC(max_iter=10000),0.8,0.311,-0.114,2.013,0.166,6.701,1.111,878,0.868,0:11:28.857762,0:00:34.154181
,,,,,,,,,,,,,,,
25,10,1,0.975,LogisticRegression(max_iter=10000),0.838,0.405,-0.02,1.877,0.031,5.788,0.197,878,0.868,0:03:03.784535,0:00:34.154181
,,,,,,,,,,,,,,,
25,10,1,0.95,MultinomialNB(),-0.983,-0.839,-1.264,3.342,1.496,17.873,12.282,812,0.803,0:00:00.063893,0:00:27.465803
,,,,,,,,,,,,,,,
25,10,1,0.95,LinearSVC(max_iter=10000),0.783,0.321,-0.104,1.981,0.135,6.603,1.012,812,0.803,0:10:48.499225,0:00:27.465803
,,,,,,,,,,,,,,,
25,10,1,0.95,LogisticRegression(max_iter=10000),0.818,0.414,-0.011,1.875,0.028,5.698,0.107,812,0.803,0:02:34.856176,0:00:27.465803
,,,,,,,,,,,,,,,
25,10,1,0.925,MultinomialNB(),-1.145,-0.952,-1.377,3.441,1.594,18.976,13.385,753,0.745,0:00:00.052294,0:00:22.270672
,,,,,,,,,,,,,,,
25,10,1,0.925,LinearSVC(max_iter=10000),0.772,0.24,-0.185,2.111,0.264,7.384,1.794,753,0.745,0:10:25.213076,0:00:22.270672
,,,,,,,,,,,,,,,
25,10,1,0.925,LogisticRegression(max_iter=10000),0.801,0.39,-0.034,1.916,0.07,5.924,0.334,753,0.745,0:02:06.262351,0:00:22.270672
,,,,,,,,,,,,,,,
25,10,1,0.9,MultinomialNB(),-1.332,-1.077,-1.502,3.528,1.682,20.19,14.599,705,0.697,0:00:00.045520,0:00:20.492302
,,,,,,,,,,,,,,,
25,10,1,0.9,LinearSVC(max_iter=10000),0.76,0.279,-0.146,2.092,0.246,7.01,1.419,705,0.697,0:10:02.626212,0:00:20.492302
,,,,,,,,,,,,,,,
25,10,1,0.9,LogisticRegression(max_iter=10000),0.792,0.391,-0.034,1.917,0.07,5.922,0.332,705,0.697,0:02:02.901420,0:00:20.492302
,,,,,,,,,,,,,,,
25,10,1,0.85,MultinomialNB(),-1.711,-1.26,-1.685,3.662,1.816,21.967,16.376,600,0.593,0:00:00.039610,0:00:13.524197
,,,,,,,,,,,,,,,
25,10,1,0.85,LinearSVC(max_iter=10000),0.734,0.281,-0.143,2.074,0.228,6.984,1.393,600,0.593,0:09:05.969810,0:00:13.524197
,,,,,,,,,,,,,,,
25,10,1,0.85,LogisticRegression(max_iter=10000),0.764,0.379,-0.046,1.93,0.083,6.038,0.447,600,0.593,0:01:34.386525,0:00:13.524197
,,,,,,,,,,,,,,,
25,10,1,0.8,MultinomialNB(),-1.787,-1.285,-1.71,3.689,1.842,22.208,16.618,510,0.504,0:00:00.035611,0:00:09.607749
,,,,,,,,,,,,,,,
25,10,1,0.8,LinearSVC(max_iter=10000),0.692,0.2,-0.224,2.216,0.369,7.771,2.18,510,0.504,0:08:19.039764,0:00:09.607749
,,,,,,,,,,,,,,,
25,10,1,0.8,LogisticRegression(max_iter=10000),0.735,0.34,-0.085,2.023,0.176,6.415,0.825,510,0.504,0:01:13.499012,0:00:09.607749
,,,,,,,,,,,,,,,
25,10,1,0.7,MultinomialNB(),-1.557,-1.109,-1.534,3.61,1.763,20.498,14.907,334,0.33,0:00:00.048302,0:00:05.408407
,,,,,,,,,,,,,,,
25,10,1,0.7,LinearSVC(max_iter=10000),0.591,0.217,-0.208,2.186,0.34,7.612,2.021,334,0.33,0:06:48.722718,0:00:05.408407
,,,,,,,,,,,,,,,
25,10,1,0.7,LogisticRegression(max_iter=10000),0.644,0.306,-0.119,2.056,0.21,6.746,1.155,334,0.33,0:00:44.702301,0:00:05.408407
,,,,,,,,,,,,,,,
25,10,1,0.6,MultinomialNB(),-1.741,-1.438,-1.863,3.826,1.979,23.699,18.108,172,0.17,0:00:00.013435,0:00:02.087456
,,,,,,,,,,,,,,,
25,10,1,0.6,LinearSVC(max_iter=10000),0.492,0.033,-0.391,2.442,0.595,9.395,3.804,172,0.17,0:02:33.697109,0:00:02.087456
,,,,,,,,,,,,,,,
25,10,1,0.6,LogisticRegression(max_iter=10000),0.525,0.171,-0.254,2.257,0.41,8.062,2.472,172,0.17,0:00:31.956880,0:00:02.087456
,,,,,,,,,,,,,,,
25,10,2,1,MultinomialNB(),0.236,0.1,0,2.372,0,8.745,0,538,1,0:00:00.051652,0:00:11.003269
,,,,,,,,,,,,,,,
25,10,2,1,LinearSVC(max_iter=10000),0.779,0.332,0,1.976,0,6.496,0,538,1,0:07:13.543389,0:00:11.003269
,,,,,,,,,,,,,,,
25,10,2,1,LogisticRegression(max_iter=10000),0.823,0.42,0,1.863,0,5.638,0,538,1,0:01:19.576232,0:00:11.003269
,,,,,,,,,,,,,,,
25,10,2,0.975,MultinomialNB(),0.201,0.09,-0.33,2.384,0.521,8.843,3.206,458,0.851,0:00:00.031227,0:00:07.911317
,,,,,,,,,,,,,,,
25,10,2,0.975,LinearSVC(max_iter=10000),0.764,0.333,-0.087,1.981,0.119,6.482,0.845,458,0.851,0:06:18.830067,0:00:07.911317
,,,,,,,,,,,,,,,
25,10,2,0.975,LogisticRegression(max_iter=10000),0.811,0.428,0.008,1.857,-0.005,5.556,-0.082,458,0.851,0:01:08.566126,0:00:07.911317
,,,,,,,,,,,,,,,
25,10,2,0.95,MultinomialNB(),0.139,0.057,-0.363,2.411,0.549,9.161,3.524,416,0.773,0:00:00.028306,0:00:06.432433
,,,,,,,,,,,,,,,
25,10,2,0.95,LinearSVC(max_iter=10000),0.751,0.345,-0.075,1.984,0.121,6.37,0.732,416,0.773,0:05:47.772737,0:00:06.432433
,,,,,,,,,,,,,,,
25,10,2,0.95,LogisticRegression(max_iter=10000),0.794,0.439,0.019,1.84,-0.023,5.454,-0.184,416,0.773,0:00:58.430433,0:00:06.432433
,,,,,,,,,,,,,,,
25,10,2,0.925,MultinomialNB(),0.034,-0.001,-0.421,2.482,0.619,9.73,4.092,376,0.699,0:00:00.025949,0:00:05.401306
,,,,,,,,,,,,,,,
25,10,2,0.925,LinearSVC(max_iter=10000),0.741,0.28,-0.14,2.083,0.22,7.001,1.363,376,0.699,0:05:59.365675,0:00:05.401306
,,,,,,,,,,,,,,,
25,10,2,0.925,LogisticRegression(max_iter=10000),0.78,0.384,-0.036,1.921,0.058,5.987,0.349,376,0.699,0:01:21.848518,0:00:05.401306
,,,,,,,,,,,,,,,
25,10,2,0.9,MultinomialNB(),0.026,0.009,-0.411,2.474,0.611,9.632,3.995,355,0.66,0:00:00.035282,0:00:05.023830
,,,,,,,,,,,,,,,
25,10,2,0.9,LinearSVC(max_iter=10000),0.733,0.306,-0.113,2.044,0.182,6.741,1.103,355,0.66,0:05:48.383026,0:00:05.023830
,,,,,,,,,,,,,,,
25,10,2,0.9,LogisticRegression(max_iter=10000),0.772,0.389,-0.031,1.924,0.061,5.934,0.297,355,0.66,0:00:46.625412,0:00:05.023830
,,,,,,,,,,,,,,,
25,10,2,0.85,MultinomialNB(),-0.134,-0.138,-0.558,2.652,0.79,11.064,5.426,295,0.548,0:00:00.021119,0:00:03.282870
,,,,,,,,,,,,,,,
25,10,2,0.85,LinearSVC(max_iter=10000),0.703,0.267,-0.153,2.093,0.23,7.127,1.49,295,0.548,0:04:28.388170,0:00:03.282870
,,,,,,,,,,,,,,,
25,10,2,0.85,LogisticRegression(max_iter=10000),0.74,0.364,-0.056,1.96,0.098,6.179,0.541,295,0.548,0:00:44.431543,0:00:03.282870
,,,,,,,,,,,,,,,
25,10,2,0.8,MultinomialNB(),-0.248,-0.179,-0.599,2.708,0.845,11.457,5.819,257,0.478,0:00:00.019462,0:00:02.410406
,,,,,,,,,,,,,,,
25,10,2,0.8,LinearSVC(max_iter=10000),0.671,0.216,-0.204,2.197,0.334,7.622,1.985,257,0.478,0:03:40.891942,0:00:02.410406
,,,,,,,,,,,,,,,
25,10,2,0.8,LogisticRegression(max_iter=10000),0.721,0.334,-0.086,2.035,0.172,6.472,0.834,257,0.478,0:00:34.402367,0:00:02.410406
,,,,,,,,,,,,,,,
25,10,2,0.7,MultinomialNB(),-0.606,-0.655,-1.075,3.117,1.255,16.082,10.444,164,0.305,0:00:00.013307,0:00:01.352095
,,,,,,,,,,,,,,,
25,10,2,0.7,LinearSVC(max_iter=10000),0.586,0.222,-0.197,2.172,0.309,7.557,1.92,164,0.305,0:01:53.106435,0:00:01.352095
,,,,,,,,,,,,,,,
25,10,2,0.7,LogisticRegression(max_iter=10000),0.635,0.31,-0.11,2.048,0.186,6.706,1.068,164,0.305,0:00:33.908167,0:00:01.352095
,,,,,,,,,,,,,,,
25,10,2,0.6,MultinomialNB(),-0.974,-0.884,-1.304,3.326,1.463,18.315,12.678,83,0.154,0:00:00.008893,0:00:00.885593
,,,,,,,,,,,,,,,
25,10,2,0.6,LinearSVC(max_iter=10000),0.488,0.05,-0.37,2.431,0.569,9.238,3.6,83,0.154,0:00:37.427544,0:00:00.885593
,,,,,,,,,,,,,,,
25,10,2,0.6,LogisticRegression(max_iter=10000),0.52,0.175,-0.245,2.244,0.382,8.015,2.378,83,0.154,0:00:15.572865,0:00:00.885593
,,,,,,,,,,,,,,,
25,15,1,1,MultinomialNB(),-1.28,-1.115,0,3.632,0,20.559,0,1541,1,0:00:00.101545,0:01:35.726617
,,,,,,,,,,,,,,,
25,15,1,1,LinearSVC(max_iter=10000),0.857,0.308,0,2.013,0,6.723,0,1541,1,0:18:11.923276,0:01:35.726617
,,,,,,,,,,,,,,,
25,15,1,1,LogisticRegression(max_iter=10000),0.872,0.43,0,1.843,0,5.542,0,1541,1,0:07:01.129667,0:01:35.726617
,,,,,,,,,,,,,,,
25,15,1,0.975,MultinomialNB(),-1.428,-1.23,-1.66,3.727,1.884,21.679,16.137,1364,0.885,0:00:00.093270,0:01:15.090126
,,,,,,,,,,,,,,,
25,15,1,0.975,LinearSVC(max_iter=10000),0.825,0.331,-0.099,1.992,0.149,6.5,0.958,1364,0.885,0:17:07.956363,0:01:15.090126
,,,,,,,,,,,,,,,
25,15,1,0.975,LogisticRegression(max_iter=10000),0.856,0.405,-0.025,1.879,0.035,5.788,0.246,1364,0.885,0:05:25.384678,0:01:15.090126
,,,,,,,,,,,,,,,
25,15,1,0.95,MultinomialNB(),-1.619,-1.384,-1.814,3.847,2.003,23.174,17.632,1269,0.823,0:00:00.080028,0:01:04.476169
,,,,,,,,,,,,,,,
25,15,1,0.95,LinearSVC(max_iter=10000),0.808,0.318,-0.112,1.984,0.141,6.631,1.089,1269,0.823,0:15:56.179986,0:01:04.476169
,,,,,,,,,,,,,,,
25,15,1,0.95,LogisticRegression(max_iter=10000),0.836,0.417,-0.013,1.859,0.016,5.664,0.122,1269,0.823,0:04:22.345142,0:01:04.476169
,,,,,,,,,,,,,,,
25,15,1,0.925,MultinomialNB(),-1.815,-1.518,-1.948,3.938,2.095,24.474,18.932,1191,0.773,0:00:00.097528,0:00:59.250073
,,,,,,,,,,,,,,,
25,15,1,0.925,LinearSVC(max_iter=10000),0.791,0.244,-0.186,2.104,0.261,7.349,1.807,1191,0.773,0:15:21.741365,0:00:59.250073
,,,,,,,,,,,,,,,
25,15,1,0.925,LogisticRegression(max_iter=10000),0.813,0.372,-0.058,1.931,0.088,6.101,0.559,1191,0.773,0:04:05.377366,0:00:59.250073
,,,,,,,,,,,,,,,
25,15,1,0.9,MultinomialNB(),-2.01,-1.629,-2.059,4.018,2.175,25.552,20.01,1119,0.726,0:00:00.070614,0:00:50.171451
,,,,,,,,,,,,,,,
25,15,1,0.9,LinearSVC(max_iter=10000),0.77,0.248,-0.182,2.118,0.275,7.309,1.767,1119,0.726,0:14:53.026341,0:00:50.171451
,,,,,,,,,,,,,,,
25,15,1,0.9,LogisticRegression(max_iter=10000),0.804,0.372,-0.058,1.93,0.087,6.109,0.567,1119,0.726,0:03:36.132873,0:00:50.171451
,,,,,,,,,,,,,,,
25,15,1,0.85,MultinomialNB(),-2.336,-1.841,-2.271,4.179,2.336,27.616,22.074,990,0.642,0:00:00.064448,0:00:40.049198
,,,,,,,,,,,,,,,
25,15,1,0.85,LinearSVC(max_iter=10000),0.748,0.258,-0.172,2.094,0.251,7.212,1.67,990,0.642,0:13:53.330439,0:00:40.049198
,,,,,,,,,,,,,,,
25,15,1,0.85,LogisticRegression(max_iter=10000),0.773,0.355,-0.075,1.964,0.121,6.269,0.727,990,0.642,0:02:48.026105,0:00:40.049198
,,,,,,,,,,,,,,,
25,15,1,0.8,MultinomialNB(),-2.715,-2.058,-2.488,4.306,2.463,29.727,24.186,842,0.546,0:00:00.060143,0:00:28.802959
,,,,,,,,,,,,,,,
25,15,1,0.8,LinearSVC(max_iter=10000),0.707,0.228,-0.201,2.165,0.322,7.5,1.958,842,0.546,0:12:52.779311,0:00:28.802959
,,,,,,,,,,,,,,,
25,15,1,0.8,LogisticRegression(max_iter=10000),0.745,0.331,-0.099,2.015,0.171,6.505,0.963,842,0.546,0:02:21.399954,0:00:28.802959
,,,,,,,,,,,,,,,
25,15,1,0.7,MultinomialNB(),-2.765,-2.003,-2.433,4.224,2.381,29.19,23.648,572,0.371,0:00:00.039163,0:00:14.188932
,,,,,,,,,,,,,,,
25,15,1,0.7,LinearSVC(max_iter=10000),0.601,0.196,-0.233,2.201,0.358,7.811,2.269,572,0.371,0:10:35.861243,0:00:14.188932
,,,,,,,,,,,,,,,
25,15,1,0.7,LogisticRegression(max_iter=10000),0.651,0.305,-0.125,2.048,0.205,6.76,1.218,572,0.371,0:01:18.300626,0:00:14.188932
,,,,,,,,,,,,,,,
25,15,1,0.6,MultinomialNB(),-2.123,-1.612,-2.042,4.045,2.202,25.39,19.848,279,0.181,0:00:00.020824,0:00:04.247525
,,,,,,,,,,,,,,,
25,15,1,0.6,LinearSVC(max_iter=10000),0.499,0.035,-0.395,2.437,0.593,9.378,3.837,279,0.181,0:06:19.812967,0:00:04.247525
,,,,,,,,,,,,,,,
25,15,1,0.6,LogisticRegression(max_iter=10000),0.526,0.176,-0.254,2.247,0.404,8.01,2.468,279,0.181,0:00:31.122080,0:00:04.247525
,,,,,,,,,,,,,,,
25,15,2,1,MultinomialNB(),-0.715,-0.664,0,3.227,0,16.178,0,1014,1,0:00:00.066076,0:00:40.415773
,,,,,,,,,,,,,,,
25,15,2,1,LinearSVC(max_iter=10000),0.837,0.328,0,1.993,0,6.532,0,1014,1,0:11:21.522512,0:00:40.415773
,,,,,,,,,,,,,,,
25,15,2,1,LogisticRegression(max_iter=10000),0.855,0.438,0,1.819,0,5.463,0,1014,1,0:03:26.124064,0:00:40.415773
,,,,,,,,,,,,,,,
25,15,2,0.975,MultinomialNB(),-0.861,-0.76,-1.198,3.305,1.486,17.109,11.646,905,0.893,0:00:00.060129,0:00:31.814618
,,,,,,,,,,,,,,,
25,15,2,0.975,LinearSVC(max_iter=10000),0.803,0.342,-0.096,1.971,0.152,6.395,0.932,905,0.893,0:10:52.761629,0:00:31.814618
,,,,,,,,,,,,,,,
25,15,2,0.975,LogisticRegression(max_iter=10000),0.844,0.416,-0.022,1.858,0.039,5.68,0.217,905,0.893,0:02:38.914626,0:00:31.814618
,,,,,,,,,,,,,,,
25,15,2,0.95,MultinomialNB(),-1.063,-0.881,-1.319,3.393,1.574,18.283,12.82,842,0.83,0:00:00.052050,0:00:27.848122
,,,,,,,,,,,,,,,
25,15,2,0.95,LinearSVC(max_iter=10000),0.787,0.335,-0.103,1.959,0.14,6.466,1.003,842,0.83,0:09:50.124161,0:00:27.848122
,,,,,,,,,,,,,,,
25,15,2,0.95,LogisticRegression(max_iter=10000),0.823,0.431,-0.007,1.838,0.019,5.528,0.066,842,0.83,0:02:18.386972,0:00:27.848122
,,,,,,,,,,,,,,,
25,15,2,0.925,MultinomialNB(),-1.284,-1.074,-1.512,3.555,1.736,20.161,14.698,785,0.774,0:00:00.049253,0:00:22.881597
,,,,,,,,,,,,,,,
25,15,2,0.925,LinearSVC(max_iter=10000),0.778,0.252,-0.186,2.092,0.273,7.271,1.808,785,0.774,0:09:57.095220,0:00:22.881597
,,,,,,,,,,,,,,,
25,15,2,0.925,LogisticRegression(max_iter=10000),0.798,0.381,-0.057,1.92,0.1,6.016,0.553,785,0.774,0:01:59.837317,0:00:22.881597
,,,,,,,,,,,,,,,
25,15,2,0.9,MultinomialNB(),-1.509,-1.15,-1.588,3.609,1.79,20.898,15.435,740,0.73,0:00:00.046781,0:00:21.804425
,,,,,,,,,,,,,,,
25,15,2,0.9,LinearSVC(max_iter=10000),0.76,0.298,-0.14,2.048,0.229,6.824,1.361,740,0.73,0:07:45.954380,0:00:21.804425
,,,,,,,,,,,,,,,
